model,comparator,scope,axis,metric,estimate,ci_lower,ci_upper,bootstrap_replicates,bootstrap_unit,bootstrap_stratification
DeepSeek/deepseek-v4-pro,released_oracle,axis,policy_purpose,focal_directional_margin,-0.056249999999999994,-0.103125,-0.02812500000000001,10000,scenario,axis
DeepSeek/deepseek-v4-pro,released_oracle,axis,principal_scope,focal_directional_margin,-0.5375,-0.9999999999999999,-0.07499999999999998,10000,scenario,axis
DeepSeek/deepseek-v4-pro,released_oracle,overall,all,stable_control_accuracy,-0.3828125,-0.453125,-0.3046875,10000,scenario,axis
DeepSeek/deepseek-v4-pro,released_oracle,axis,as_of_time,stable_control_accuracy,-0.4375,-0.6875,-0.125,10000,scenario,axis
DeepSeek/deepseek-v4-pro,released_oracle,axis,lifecycle_intent,stable_control_accuracy,-0.21875,-0.3125,-0.125,10000,scenario,axis
DeepSeek/deepseek-v4-pro,released_oracle,axis,policy_purpose,stable_control_accuracy,-0.375,-0.46875,-0.28125,10000,scenario,axis
DeepSeek/deepseek-v4-pro,released_oracle,axis,principal_scope,stable_control_accuracy,-0.5,-0.5,-0.5,10000,scenario,axis
DeepSeek/deepseek-v4-pro,released_oracle,overall,all,stable_control_overflip_rate,0.265625,0.1875,0.34375,10000,scenario,axis
DeepSeek/deepseek-v4-pro,released_oracle,axis,as_of_time,stable_control_overflip_rate,0.125,0.0,0.375,10000,scenario,axis
DeepSeek/deepseek-v4-pro,released_oracle,axis,lifecycle_intent,stable_control_overflip_rate,0.4375,0.25,0.625,10000,scenario,axis
DeepSeek/deepseek-v4-pro,released_oracle,axis,policy_purpose,stable_control_overflip_rate,0.4375,0.3125,0.5,10000,scenario,axis
DeepSeek/deepseek-v4-pro,released_oracle,axis,principal_scope,stable_control_overflip_rate,0.0625,0.0,0.1875,10000,scenario,axis
DeepSeek/deepseek-v4-pro,released_oracle,overall,all,candidate_accuracy,-0.3072916666666667,-0.3697916666666667,-0.24479166666666666,10000,scenario,axis
DeepSeek/deepseek-v4-pro,released_oracle,axis,as_of_time,candidate_accuracy,-0.33333333333333337,-0.5833333333333334,-0.08333333333333334,10000,scenario,axis
DeepSeek/deepseek-v4-pro,released_oracle,axis,lifecycle_intent,candidate_accuracy,-0.22916666666666666,-0.29166666666666663,-0.16666666666666666,10000,scenario,axis
DeepSeek/deepseek-v4-pro,released_oracle,axis,policy_purpose,candidate_accuracy,-0.25,-0.3125,-0.18749999999999997,10000,scenario,axis
DeepSeek/deepseek-v4-pro,released_oracle,axis,principal_scope,candidate_accuracy,-0.4166666666666667,-0.5,-0.33333333333333337,10000,scenario,axis
Gemini/gemini-3.6-flash,no_verifier_keep_all,overall,all,strict_focal_pair_consistency,1.0,1.0,1.0,10000,scenario,axis
Gemini/gemini-3.6-flash,no_verifier_keep_all,axis,as_of_time,strict_focal_pair_consistency,1.0,1.0,1.0,10000,scenario,axis
Gemini/gemini-3.6-flash,no_verifier_keep_all,axis,lifecycle_intent,strict_focal_pair_consistency,1.0,1.0,1.0,10000,scenario,axis
Gemini/gemini-3.6-flash,no_verifier_keep_all,axis,policy_purpose,strict_focal_pair_consistency,1.0,1.0,1.0,10000,scenario,axis
Gemini/gemini-3.6-flash,no_verifier_keep_all,axis,principal_scope,strict_focal_pair_consistency,1.0,1.0,1.0,10000,scenario,axis
Gemini/gemini-3.6-flash,no_verifier_keep_all,overall,all,focal_direction_accuracy,1.0,1.0,1.0,10000,scenario,axis
Gemini/gemini-3.6-flash,no_verifier_keep_all,axis,as_of_time,focal_direction_accuracy,1.0,1.0,1.0,10000,scenario,axis
Gemini/gemini-3.6-flash,no_verifier_keep_all,axis,lifecycle_intent,focal_direction_accuracy,1.0,1.0,1.0,10000,scenario,axis
Gemini/gemini-3.6-flash,no_verifier_keep_all,axis,policy_purpose,focal_direction_accuracy,1.0,1.0,1.0,10000,scenario,axis
Gemini/gemini-3.6-flash,no_verifier_keep_all,axis,principal_scope,focal_direction_accuracy,1.0,1.0,1.0,10000,scenario,axis
Gemini/gemini-3.6-flash,no_verifier_keep_all,overall,all,focal_directional_margin,1.0,1.0,1.0,10000,scenario,axis
Gemini/gemini-3.6-flash,no_verifier_keep_all,axis,as_of_time,focal_directional_margin,1.0,1.0,1.0,10000,scenario,axis
Gemini/gemini-3.6-flash,no_verifier_keep_all,axis,lifecycle_intent,focal_directional_margin,1.0,1.0,1.0,10000,scenario,axis
Gemini/gemini-3.6-flash,no_verifier_keep_all,axis,policy_purpose,focal_directional_margin,1.0,1.0,1.0,10000,scenario,axis
Gemini/gemini-3.6-flash,no_verifier_keep_all,axis,principal_scope,focal_directional_margin,1.0,1.0,1.0,10000,scenario,axis
Gemini/gemini-3.6-flash,no_verifier_keep_all,overall,all,stable_control_accuracy,0.203125,0.171875,0.2421875,10000,scenario,axis
