model,scope,axis,metric,estimate,ci_lower,ci_upper,bootstrap_replicates,bootstrap_unit,bootstrap_stratification,axis_count,scenario_count,pair_count
no_verifier_keep_all,overall,all,stable_control_accuracy,0.5,0.5,0.5,10000,scenario,axis,4,16,32
no_verifier_keep_all,overall,all,stable_control_overflip_rate,0.0,0.0,0.0,10000,scenario,axis,4,16,32
no_verifier_keep_all,overall,all,candidate_accuracy,0.5,0.5,0.5,10000,scenario,axis,4,16,32
no_verifier_keep_all,axis,as_of_time,strict_focal_pair_consistency,0.0,0.0,0.0,10000,scenario,axis,1,4,8
no_verifier_keep_all,axis,as_of_time,focal_direction_accuracy,0.0,0.0,0.0,10000,scenario,axis,1,4,8
no_verifier_keep_all,axis,as_of_time,focal_directional_margin,0.0,0.0,0.0,10000,scenario,axis,1,4,8
no_verifier_keep_all,axis,as_of_time,stable_control_accuracy,0.5,0.5,0.5,10000,scenario,axis,1,4,8
no_verifier_keep_all,axis,as_of_time,stable_control_overflip_rate,0.0,0.0,0.0,10000,scenario,axis,1,4,8
no_verifier_keep_all,axis,as_of_time,candidate_accuracy,0.5,0.5,0.5,10000,scenario,axis,1,4,8
no_verifier_keep_all,axis,lifecycle_intent,strict_focal_pair_consistency,0.0,0.0,0.0,10000,scenario,axis,1,4,8
no_verifier_keep_all,axis,lifecycle_intent,focal_direction_accuracy,0.0,0.0,0.0,10000,scenario,axis,1,4,8
no_verifier_keep_all,axis,lifecycle_intent,focal_directional_margin,0.0,0.0,0.0,10000,scenario,axis,1,4,8
no_verifier_keep_all,axis,lifecycle_intent,stable_control_accuracy,0.5,0.5,0.5,10000,scenario,axis,1,4,8
no_verifier_keep_all,axis,lifecycle_intent,stable_control_overflip_rate,0.0,0.0,0.0,10000,scenario,axis,1,4,8
no_verifier_keep_all,axis,lifecycle_intent,candidate_accuracy,0.5,0.5,0.5,10000,scenario,axis,1,4,8
no_verifier_keep_all,axis,policy_purpose,strict_focal_pair_consistency,0.0,0.0,0.0,10000,scenario,axis,1,4,8
no_verifier_keep_all,axis,policy_purpose,focal_direction_accuracy,0.0,0.0,0.0,10000,scenario,axis,1,4,8
no_verifier_keep_all,axis,policy_purpose,focal_directional_margin,0.0,0.0,0.0,10000,scenario,axis,1,4,8
no_verifier_keep_all,axis,policy_purpose,stable_control_accuracy,0.5,0.5,0.5,10000,scenario,axis,1,4,8
no_verifier_keep_all,axis,policy_purpose,stable_control_overflip_rate,0.0,0.0,0.0,10000,scenario,axis,1,4,8
no_verifier_keep_all,axis,policy_purpose,candidate_accuracy,0.5,0.5,0.5,10000,scenario,axis,1,4,8
no_verifier_keep_all,axis,principal_scope,strict_focal_pair_consistency,0.0,0.0,0.0,10000,scenario,axis,1,4,8
no_verifier_keep_all,axis,principal_scope,focal_direction_accuracy,0.0,0.0,0.0,10000,scenario,axis,1,4,8
no_verifier_keep_all,axis,principal_scope,focal_directional_margin,0.0,0.0,0.0,10000,scenario,axis,1,4,8
no_verifier_keep_all,axis,principal_scope,stable_control_accuracy,0.5,0.5,0.5,10000,scenario,axis,1,4,8
no_verifier_keep_all,axis,principal_scope,stable_control_overflip_rate,0.0,0.0,0.0,10000,scenario,axis,1,4,8
no_verifier_keep_all,axis,principal_scope,candidate_accuracy,0.5,0.5,0.5,10000,scenario,axis,1,4,8
OpenAI/gpt-5.6-sol,overall,all,strict_focal_pair_consistency,1.0,1.0,1.0,10000,scenario,axis,4,16,32
OpenAI/gpt-5.6-sol,overall,all,focal_direction_accuracy,1.0,1.0,1.0,10000,scenario,axis,4,16,32
OpenAI/gpt-5.6-sol,overall,all,focal_directional_margin,0.981453125,0.979671875,0.98334375,10000,scenario,axis,4,16,32
OpenAI/gpt-5.6-sol,overall,all,stable_control_accuracy,0.7734375,0.671875,0.859375,10000,scenario,axis,4,16,32
OpenAI/gpt-5.6-sol,overall,all,stable_control_overflip_rate,0.203125,0.109375,0.3125,10000,scenario,axis,4,16,32
OpenAI/gpt-5.6-sol,overall,all,candidate_accuracy,0.8489583333333333,0.78125,0.90625,10000,scenario,axis,4,16,32
OpenAI/gpt-5.6-sol,axis,as_of_time,strict_focal_pair_consistency,1.0,1.0,1.0,10000,scenario,axis,1,4,8
OpenAI/gpt-5.6-sol,axis,as_of_time,focal_direction_accuracy,1.0,1.0,1.0,10000,scenario,axis,1,4,8
OpenAI/gpt-5.6-sol,axis,as_of_time,focal_directional_margin,0.9805625,0.9765625,0.987625,10000,scenario,axis,1,4,8
OpenAI/gpt-5.6-sol,axis,as_of_time,stable_control_accuracy,0.875,0.625,1.0,10000,scenario,axis,1,4,8
OpenAI/gpt-5.6-sol,axis,as_of_time,stable_control_overflip_rate,0.0,0.0,0.0,10000,scenario,axis,1,4,8
OpenAI/gpt-5.6-sol,axis,as_of_time,candidate_accuracy,0.9166666666666666,0.75,1.0,10000,scenario,axis,1,4,8
OpenAI/gpt-5.6-sol,axis,lifecycle_intent,strict_focal_pair_consistency,1.0,1.0,1.0,10000,scenario,axis,1,4,8
OpenAI/gpt-5.6-sol,axis,lifecycle_intent,focal_direction_accuracy,1.0,1.0,1.0,10000,scenario,axis,1,4,8
OpenAI/gpt-5.6-sol,axis,lifecycle_intent,focal_directional_margin,0.97875,0.9778125,0.9796875,10000,scenario,axis,1,4,8
OpenAI/gpt-5.6-sol,axis,lifecycle_intent,stable_control_accuracy,0.78125,0.75,0.84375,10000,scenario,axis,1,4,8
OpenAI/gpt-5.6-sol,axis,lifecycle_intent,stable_control_overflip_rate,0.4375,0.3125,0.5,10000,scenario,axis,1,4,8
OpenAI/gpt-5.6-sol,axis,lifecycle_intent,candidate_accuracy,0.8541666666666667,0.8333333333333334,0.8958333333333334,10000,scenario,axis,1,4,8
OpenAI/gpt-5.6-sol,axis,policy_purpose,strict_focal_pair_consistency,1.0,1.0,1.0,10000,scenario,axis,1,4,8
OpenAI/gpt-5.6-sol,axis,policy_purpose,focal_direction_accuracy,1.0,1.0,1.0,10000,scenario,axis,1,4,8
OpenAI/gpt-5.6-sol,axis,policy_purpose,focal_directional_margin,0.989625,0.9844374999999999,0.9924999999999999,10000,scenario,axis,1,4,8
OpenAI/gpt-5.6-sol,axis,policy_purpose,stable_control_accuracy,0.59375,0.5,0.78125,10000,scenario,axis,1,4,8
OpenAI/gpt-5.6-sol,axis,policy_purpose,stable_control_overflip_rate,0.1875,0.0,0.375,10000,scenario,axis,1,4,8
OpenAI/gpt-5.6-sol,axis,policy_purpose,candidate_accuracy,0.7291666666666666,0.6666666666666666,0.8541666666666667,10000,scenario,axis,1,4,8
OpenAI/gpt-5.6-sol,axis,principal_scope,strict_focal_pair_consistency,1.0,1.0,1.0,10000,scenario,axis,1,4,8
OpenAI/gpt-5.6-sol,axis,principal_scope,focal_direction_accuracy,1.0,1.0,1.0,10000,scenario,axis,1,4,8
OpenAI/gpt-5.6-sol,axis,principal_scope,focal_directional_margin,0.976875,0.975625,0.9775,10000,scenario,axis,1,4,8
OpenAI/gpt-5.6-sol,axis,principal_scope,stable_control_accuracy,0.84375,0.53125,1.0,10000,scenario,axis,1,4,8
OpenAI/gpt-5.6-sol,axis,principal_scope,stable_control_overflip_rate,0.1875,0.0,0.5625,10000,scenario,axis,1,4,8
OpenAI/gpt-5.6-sol,axis,principal_scope,candidate_accuracy,0.8958333333333333,0.6875,1.0,10000,scenario,axis,1,4,8
DeepSeek/deepseek-v4-pro,overall,all,strict_focal_pair_consistency,0.71875,0.59375,0.84375,10000,scenario,axis,4,16,32
DeepSeek/deepseek-v4-pro,overall,all,focal_direction_accuracy,0.875,0.71875,1.0,10000,scenario,axis,4,16,32
DeepSeek/deepseek-v4-pro,overall,all,focal_directional_margin,0.70875,0.56468359375,0.84172265625,10000,scenario,axis,4,16,32
DeepSeek/deepseek-v4-pro,overall,all,stable_control_accuracy,0.6171875,0.546875,0.6953125,10000,scenario,axis,4,16,32
DeepSeek/deepseek-v4-pro,overall,all,stable_control_overflip_rate,0.265625,0.1875,0.34375,10000,scenario,axis,4,16,32
DeepSeek/deepseek-v4-pro,overall,all,candidate_accuracy,0.6927083333333333,0.6302083333333333,0.7552083333333334,10000,scenario,axis,4,16,32
DeepSeek/deepseek-v4-pro,axis,as_of_time,strict_focal_pair_consistency,0.875,0.625,1.0,10000,scenario,axis,1,4,8
DeepSeek/deepseek-v4-pro,axis,as_of_time,focal_direction_accuracy,0.875,0.625,1.0,10000,scenario,axis,1,4,8
DeepSeek/deepseek-v4-pro,axis,as_of_time,focal_directional_margin,0.800625,0.431875,1.0,10000,scenario,axis,1,4,8
DeepSeek/deepseek-v4-pro,axis,as_of_time,stable_control_accuracy,0.5625,0.3125,0.875,10000,scenario,axis,1,4,8
DeepSeek/deepseek-v4-pro,axis,as_of_time,stable_control_overflip_rate,0.125,0.0,0.375,10000,scenario,axis,1,4,8
DeepSeek/deepseek-v4-pro,axis,as_of_time,candidate_accuracy,0.6666666666666666,0.41666666666666663,0.9166666666666666,10000,scenario,axis,1,4,8
DeepSeek/deepseek-v4-pro,axis,lifecycle_intent,strict_focal_pair_consistency,0.5,0.5,0.5,10000,scenario,axis,1,4,8
DeepSeek/deepseek-v4-pro,axis,lifecycle_intent,focal_direction_accuracy,0.875,0.625,1.0,10000,scenario,axis,1,4,8
DeepSeek/deepseek-v4-pro,axis,lifecycle_intent,focal_directional_margin,0.628125,0.5125,0.74375,10000,scenario,axis,1,4,8
DeepSeek/deepseek-v4-pro,axis,lifecycle_intent,stable_control_accuracy,0.78125,0.6875,0.875,10000,scenario,axis,1,4,8
DeepSeek/deepseek-v4-pro,axis,lifecycle_intent,stable_control_overflip_rate,0.4375,0.25,0.625,10000,scenario,axis,1,4,8
DeepSeek/deepseek-v4-pro,axis,lifecycle_intent,candidate_accuracy,0.7708333333333334,0.7083333333333334,0.8333333333333333,10000,scenario,axis,1,4,8
DeepSeek/deepseek-v4-pro,axis,policy_purpose,strict_focal_pair_consistency,1.0,1.0,1.0,10000,scenario,axis,1,4,8
DeepSeek/deepseek-v4-pro,axis,policy_purpose,focal_direction_accuracy,1.0,1.0,1.0,10000,scenario,axis,1,4,8
DeepSeek/deepseek-v4-pro,axis,policy_purpose,focal_directional_margin,0.94375,0.896875,0.971875,10000,scenario,axis,1,4,8
DeepSeek/deepseek-v4-pro,axis,policy_purpose,stable_control_accuracy,0.625,0.53125,0.71875,10000,scenario,axis,1,4,8
DeepSeek/deepseek-v4-pro,axis,policy_purpose,stable_control_overflip_rate,0.4375,0.3125,0.5,10000,scenario,axis,1,4,8
DeepSeek/deepseek-v4-pro,axis,policy_purpose,candidate_accuracy,0.75,0.6875,0.8125,10000,scenario,axis,1,4,8
DeepSeek/deepseek-v4-pro,axis,principal_scope,strict_focal_pair_consistency,0.5,0.0,1.0,10000,scenario,axis,1,4,8
DeepSeek/deepseek-v4-pro,axis,principal_scope,focal_direction_accuracy,0.75,0.25,1.0,10000,scenario,axis,1,4,8
DeepSeek/deepseek-v4-pro,axis,principal_scope,focal_directional_margin,0.4625,1.3877787807814457e-17,0.925,10000,scenario,axis,1,4,8
DeepSeek/deepseek-v4-pro,axis,principal_scope,stable_control_accuracy,0.5,0.5,0.5,10000,scenario,axis,1,4,8
DeepSeek/deepseek-v4-pro,axis,principal_scope,stable_control_overflip_rate,0.0625,0.0,0.1875,10000,scenario,axis,1,4,8
DeepSeek/deepseek-v4-pro,axis,principal_scope,candidate_accuracy,0.5833333333333333,0.5,0.6666666666666666,10000,scenario,axis,1,4,8
Gemini/gemini-3.6-flash,overall,all,strict_focal_pair_consistency,1.0,1.0,1.0,10000,scenario,axis,4,16,32
Gemini/gemini-3.6-flash,overall,all,focal_direction_accuracy,1.0,1.0,1.0,10000,scenario,axis,4,16,32
Gemini/gemini-3.6-flash,overall,all,focal_directional_margin,1.0,1.0,1.0,10000,scenario,axis,4,16,32
Gemini/gemini-3.6-flash,overall,all,stable_control_accuracy,0.703125,0.671875,0.7421875,10000,scenario,axis,4,16,32
Gemini/gemini-3.6-flash,overall,all,stable_control_overflip_rate,0.296875,0.21875,0.375,10000,scenario,axis,4,16,32
Gemini/gemini-3.6-flash,overall,all,candidate_accuracy,0.8020833333333334,0.78125,0.828125,10000,scenario,axis,4,16,32
Gemini/gemini-3.6-flash,axis,as_of_time,strict_focal_pair_consistency,1.0,1.0,1.0,10000,scenario,axis,1,4,8
Gemini/gemini-3.6-flash,axis,as_of_time,focal_direction_accuracy,1.0,1.0,1.0,10000,scenario,axis,1,4,8
Gemini/gemini-3.6-flash,axis,as_of_time,focal_directional_margin,1.0,1.0,1.0,10000,scenario,axis,1,4,8
Gemini/gemini-3.6-flash,axis,as_of_time,stable_control_accuracy,0.84375,0.75,0.9375,10000,scenario,axis,1,4,8
Gemini/gemini-3.6-flash,axis,as_of_time,stable_control_overflip_rate,0.25,0.0625,0.4375,10000,scenario,axis,1,4,8
Gemini/gemini-3.6-flash,axis,as_of_time,candidate_accuracy,0.8958333333333334,0.8333333333333333,0.9583333333333334,10000,scenario,axis,1,4,8
Gemini/gemini-3.6-flash,axis,lifecycle_intent,strict_focal_pair_consistency,1.0,1.0,1.0,10000,scenario,axis,1,4,8
Gemini/gemini-3.6-flash,axis,lifecycle_intent,focal_direction_accuracy,1.0,1.0,1.0,10000,scenario,axis,1,4,8
Gemini/gemini-3.6-flash,axis,lifecycle_intent,focal_directional_margin,1.0,1.0,1.0,10000,scenario,axis,1,4,8
Gemini/gemini-3.6-flash,axis,lifecycle_intent,stable_control_accuracy,0.75,0.75,0.75,10000,scenario,axis,1,4,8
Gemini/gemini-3.6-flash,axis,lifecycle_intent,stable_control_overflip_rate,0.5,0.5,0.5,10000,scenario,axis,1,4,8
Gemini/gemini-3.6-flash,axis,lifecycle_intent,candidate_accuracy,0.8333333333333334,0.8333333333333334,0.8333333333333334,10000,scenario,axis,1,4,8
Gemini/gemini-3.6-flash,axis,policy_purpose,strict_focal_pair_consistency,1.0,1.0,1.0,10000,scenario,axis,1,4,8
Gemini/gemini-3.6-flash,axis,policy_purpose,focal_direction_accuracy,1.0,1.0,1.0,10000,scenario,axis,1,4,8
Gemini/gemini-3.6-flash,axis,policy_purpose,focal_directional_margin,1.0,1.0,1.0,10000,scenario,axis,1,4,8
Gemini/gemini-3.6-flash,axis,policy_purpose,stable_control_accuracy,0.59375,0.53125,0.625,10000,scenario,axis,1,4,8
Gemini/gemini-3.6-flash,axis,policy_purpose,stable_control_overflip_rate,0.3125,0.125,0.5,10000,scenario,axis,1,4,8
Gemini/gemini-3.6-flash,axis,policy_purpose,candidate_accuracy,0.7291666666666666,0.6875,0.75,10000,scenario,axis,1,4,8
Gemini/gemini-3.6-flash,axis,principal_scope,strict_focal_pair_consistency,1.0,1.0,1.0,10000,scenario,axis,1,4,8
Gemini/gemini-3.6-flash,axis,principal_scope,focal_direction_accuracy,1.0,1.0,1.0,10000,scenario,axis,1,4,8
Gemini/gemini-3.6-flash,axis,principal_scope,focal_directional_margin,1.0,1.0,1.0,10000,scenario,axis,1,4,8
Gemini/gemini-3.6-flash,axis,principal_scope,stable_control_accuracy,0.625,0.53125,0.71875,10000,scenario,axis,1,4,8
Gemini/gemini-3.6-flash,axis,principal_scope,stable_control_overflip_rate,0.125,0.0,0.25,10000,scenario,axis,1,4,8
Gemini/gemini-3.6-flash,axis,principal_scope,candidate_accuracy,0.75,0.6875,0.8125,10000,scenario,axis,1,4,8
