model,axis,role,condition,judgment_count,gold_admissible_count,gold_inadmissible_count,accuracy,false_deny_rate,false_admit_rate,unknown_argmax_rate,mean_p_admissible,mean_p_inadmissible,mean_p_unknown
OpenAI/gpt-5.6-sol,policy_purpose,stable_inadmissible,allow,8,0,8,1.0,,0.0,0.0,0.00075,0.9984999999999999,0.00075
OpenAI/gpt-5.6-sol,policy_purpose,stable_inadmissible,block,8,0,8,1.0,,0.0,0.0,0.0015,0.997,0.0015
OpenAI/gpt-5.6-sol,principal_scope,focal,all,16,8,8,1.0,0.0,0.0,0.0,0.5,0.493125,0.006875
OpenAI/gpt-5.6-sol,principal_scope,focal,allow,8,8,0,1.0,0.0,,0.0,0.99,0.00625,0.00375
OpenAI/gpt-5.6-sol,principal_scope,focal,block,8,0,8,1.0,,0.0,0.0,0.01,0.98,0.01
OpenAI/gpt-5.6-sol,principal_scope,stable_admissible,all,16,16,0,0.8125,0.0,,0.1875,0.808125,0.016875,0.175
OpenAI/gpt-5.6-sol,principal_scope,stable_admissible,allow,8,8,0,0.75,0.0,,0.25,0.7525,0.019375,0.228125
OpenAI/gpt-5.6-sol,principal_scope,stable_admissible,block,8,8,0,0.875,0.0,,0.125,0.86375,0.014375,0.121875
OpenAI/gpt-5.6-sol,principal_scope,stable_inadmissible,all,16,0,16,0.875,,0.125,0.0,0.128875,0.86475,0.0063750000000000005
OpenAI/gpt-5.6-sol,principal_scope,stable_inadmissible,allow,8,0,8,1.0,,0.0,0.0,0.00525,0.992,0.00275
OpenAI/gpt-5.6-sol,principal_scope,stable_inadmissible,block,8,0,8,0.75,,0.25,0.0,0.2525,0.7374999999999999,0.01
DeepSeek/deepseek-v4-pro,all,focal,all,64,32,32,0.84375,0.0625,0.15625,0.046875,0.4828125,0.4590625,0.058125
DeepSeek/deepseek-v4-pro,all,focal,allow,32,32,0,0.84375,0.0625,,0.09375,0.8099999999999999,0.0775,0.1125
DeepSeek/deepseek-v4-pro,all,focal,block,32,0,32,0.84375,,0.15625,0.0,0.15562499999999999,0.840625,0.0037500000000000003
DeepSeek/deepseek-v4-pro,all,stable_admissible,all,64,64,0,0.28125,0.59375,,0.125,0.2934375,0.56859375,0.13796875
DeepSeek/deepseek-v4-pro,all,stable_admissible,allow,32,32,0,0.125,0.78125,,0.09375,0.1390625,0.745625,0.1153125
DeepSeek/deepseek-v4-pro,all,stable_admissible,block,32,32,0,0.4375,0.40625,,0.15625,0.4478125,0.3915625,0.160625
DeepSeek/deepseek-v4-pro,all,stable_inadmissible,all,64,0,64,0.953125,,0.015625,0.03125,0.0253125,0.931875,0.0428125
DeepSeek/deepseek-v4-pro,all,stable_inadmissible,allow,32,0,32,0.9375,,0.03125,0.03125,0.04625,0.9034375,0.0503125
DeepSeek/deepseek-v4-pro,all,stable_inadmissible,block,32,0,32,0.96875,,0.0,0.03125,0.004375,0.9603125,0.035312500000000004
DeepSeek/deepseek-v4-pro,as_of_time,focal,all,16,8,8,0.875,0.0,0.125,0.0625,0.491875,0.44125,0.066875
DeepSeek/deepseek-v4-pro,as_of_time,focal,allow,8,8,0,0.875,0.0,,0.125,0.85875,0.007500000000000001,0.13375
DeepSeek/deepseek-v4-pro,as_of_time,focal,block,8,0,8,0.875,,0.125,0.0,0.125,0.875,0.0
DeepSeek/deepseek-v4-pro,as_of_time,stable_admissible,all,16,16,0,0.25,0.5,,0.25,0.244375,0.50125,0.254375
DeepSeek/deepseek-v4-pro,as_of_time,stable_admissible,allow,8,8,0,0.25,0.5,,0.25,0.23875,0.5025,0.25875
DeepSeek/deepseek-v4-pro,as_of_time,stable_admissible,block,8,8,0,0.25,0.5,,0.25,0.25,0.5,0.25
DeepSeek/deepseek-v4-pro,as_of_time,stable_inadmissible,all,16,0,16,0.875,,0.0,0.125,0.0037500000000000003,0.866875,0.129375
DeepSeek/deepseek-v4-pro,as_of_time,stable_inadmissible,allow,8,0,8,0.875,,0.0,0.125,0.007500000000000001,0.85875,0.13375
DeepSeek/deepseek-v4-pro,as_of_time,stable_inadmissible,block,8,0,8,0.875,,0.0,0.125,0.0,0.875,0.125
DeepSeek/deepseek-v4-pro,lifecycle_intent,focal,all,16,8,8,0.75,0.25,0.0,0.125,0.24687499999999998,0.61875,0.134375
DeepSeek/deepseek-v4-pro,lifecycle_intent,focal,allow,8,8,0,0.5,0.25,,0.25,0.49374999999999997,0.2375,0.26875
DeepSeek/deepseek-v4-pro,lifecycle_intent,focal,block,8,0,8,1.0,,0.0,0.0,0.0,1.0,0.0
DeepSeek/deepseek-v4-pro,lifecycle_intent,stable_admissible,all,16,16,0,0.625,0.375,,0.0,0.621875,0.36875,0.009375000000000001
DeepSeek/deepseek-v4-pro,lifecycle_intent,stable_admissible,allow,8,8,0,0.25,0.75,,0.0,0.24375,0.7375,0.018750000000000003
DeepSeek/deepseek-v4-pro,lifecycle_intent,stable_admissible,block,8,8,0,1.0,0.0,,0.0,1.0,0.0,0.0
DeepSeek/deepseek-v4-pro,lifecycle_intent,stable_inadmissible,all,16,0,16,0.9375,,0.0625,0.0,0.0625,0.928125,0.009375000000000001
DeepSeek/deepseek-v4-pro,lifecycle_intent,stable_inadmissible,allow,8,0,8,0.875,,0.125,0.0,0.125,0.85625,0.018750000000000003
DeepSeek/deepseek-v4-pro,lifecycle_intent,stable_inadmissible,block,8,0,8,1.0,,0.0,0.0,0.0,1.0,0.0
DeepSeek/deepseek-v4-pro,policy_purpose,focal,all,16,8,8,1.0,0.0,0.0,0.0,0.465625,0.521875,0.0125
DeepSeek/deepseek-v4-pro,policy_purpose,focal,allow,8,8,0,1.0,0.0,,0.0,0.93125,0.043750000000000004,0.025
DeepSeek/deepseek-v4-pro,policy_purpose,focal,block,8,0,8,1.0,,0.0,0.0,0.0,1.0,0.0
