arm,seed_count,target_recall,infeasibility_cost,query_count,mean_evidence_recall,std_evidence_recall,mean_feasible_rate,std_feasible_rate,mean_penalized_admissibility_upper_risk,std_penalized_admissibility_upper_risk,mean_penalized_residual_upper_risk,std_penalized_residual_upper_risk,mean_conditional_admissibility_upper_risk,std_conditional_admissibility_upper_risk,mean_conditional_residual_upper_risk,std_conditional_residual_upper_risk,mean_returned_wrong_scope_rate,std_returned_wrong_scope_rate,mean_matched_prefix_wrong_scope_rate,std_matched_prefix_wrong_scope_rate,mean_mean_route_width,std_mean_route_width,mean_mean_candidates_scored,std_mean_candidates_scored
global_post_filter_100,1,0.5,1.0,3767,0.5158949639092123,0.0,0.5753206979556905,0.0,0.4766085011153859,0.0,0.4766085011153859,0.0,0.09956165590222968,0.0,0.09956165590222968,0.0,0.0,0.0,0.0,0.0,18.712706853423175,0.0,90121.7017208413,0.0
global_post_filter_100,1,0.7,1.0,3767,0.5158949639092123,0.0,0.33702461140201767,0.0,0.6913705190459145,0.0,0.6913705190459145,0.0,0.12120237259617253,0.0,0.12120237259617253,0.0,0.0,0.0,0.0,0.0,18.712706853423175,0.0,90121.7017208413,0.0
global_post_filter_100,1,0.8,1.0,3767,0.5158949639092123,0.0,0.2987960712290141,0.0,0.7235457974297035,0.0,0.7235457974297035,0.0,0.1262665887262711,0.0,0.1262665887262711,0.0,0.0,0.0,0.0,0.0,18.712706853423175,0.0,90121.7017208413,0.0
global_post_filter_100,1,0.9,1.0,3767,0.5158949639092123,0.0,0.29164358144348856,0.0,0.7297099755750542,0.0,0.7297099755750542,0.0,0.12827951660769008,0.0,0.12827951660769008,0.0,0.0,0.0,0.0,0.0,18.712706853423175,0.0,90121.7017208413,0.0
global_post_filter_100,1,1.0,1.0,3767,0.5158949639092123,0.0,0.29164358144348856,0.0,0.7297099755750542,0.0,0.7297099755750542,0.0,0.12827951660769008,0.0,0.12827951660769008,0.0,0.0,0.0,0.0,0.0,18.712706853423175,0.0,90121.7017208413,0.0
global_post_filter_500,1,0.5,1.0,3767,0.5312622594931394,0.0,0.5936955532555469,0.0,0.46100502979053093,0.0,0.46100502979053093,0.0,0.10002744723871357,0.0,0.10002744723871357,0.0,0.0,0.0,0.0,0.0,19.823455804862867,0.0,90121.7017208413,0.0
global_post_filter_500,1,0.7,1.0,3767,0.5312622594931394,0.0,0.3514233071556726,0.0,0.6789282891679447,0.0,0.6789282891679447,0.0,0.12155626972075786,0.0,0.12155626972075786,0.0,0.0,0.0,0.0,0.0,19.823455804862867,0.0,90121.7017208413,0.0
global_post_filter_500,1,0.8,1.0,3767,0.5312622594931394,0.0,0.31069743700975827,0.0,0.7132725593097626,0.0,0.7132725593097626,0.0,0.1266427818575338,0.0,0.1266427818575338,0.0,0.0,0.0,0.0,0.0,19.823455804862867,0.0,90121.7017208413,0.0
global_post_filter_500,1,0.9,1.0,3767,0.5312622594931394,0.0,0.30292842441288875,0.0,0.7199505064645669,0.0,0.7199505064645669,0.0,0.12885286765011367,0.0,0.12885286765011367,0.0,0.0,0.0,0.0,0.0,19.823455804862867,0.0,90121.7017208413,0.0
global_post_filter_500,1,1.0,1.0,3767,0.5312622594931394,0.0,0.30292842441288875,0.0,0.7199505064645669,0.0,0.7199505064645669,0.0,0.12885286765011367,0.0,0.12885286765011367,0.0,0.0,0.0,0.0,0.0,19.823455804862867,0.0,90121.7017208413,0.0
