reader_provider,reader_model,arm,reference,metric,mean_delta_arm_minus_reference,bootstrap_ci95_lower,bootstrap_ci95_upper,paired_query_count,namespace_group_count,bootstrap_replicates
Gemini,gemini-3.6-flash,released_field_oracle,global_dense,evidence_recall,0.09147731731575298,0.07163333316184005,0.11046211605673978,3767,87,10000
Gemini,gemini-3.6-flash,released_field_oracle,global_dense,feasible,0.06620311538525014,0.04783414910067922,0.08694625998547567,3767,87,10000
Gemini,gemini-3.6-flash,released_field_oracle,global_dense,penalized_admissibility_upper_risk,-0.09942966968809797,-0.12144386624534335,-0.07794393623029061,3767,87,10000
Gemini,gemini-3.6-flash,released_field_oracle,global_dense,route_width,-2.450678175092478,-2.5595533498759306,-2.341860465116279,3767,87,10000
Gemini,gemini-3.6-flash,released_field_oracle,global_dense,wrong_namespace_exposure,-0.3165815165753867,-0.35212771739130433,-0.2774964612760557,3767,87,10000
Gemini,gemini-3.6-flash,released_field_oracle,global_dense,policy_disallowed_exposure,-0.09992293464858198,-0.10526871980676328,-0.09467186484730343,3767,87,10000
Gemini,gemini-3.6-flash,released_field_oracle,global_dense,lifecycle_incompatible_exposure,-0.014919852034525278,-0.01668233082706767,-0.013202594193946881,3767,87,10000
Gemini,gemini-3.6-flash,released_field_oracle,global_dense,unresolved_exposure,0.006931286722699686,0.005847786854271552,0.008072631655131751,3767,87,10000
Gemini,gemini-3.6-flash,released_field_oracle,global_dense,contains_reference_answer,0.01307605981803736,0.002625188862508094,0.021780303030303032,3767,87,10000
Gemini,gemini-3.6-flash,released_field_oracle,global_dense,over_refusal,-0.02627294867653889,-0.04212481400190151,-0.01245875780932504,3767,87,10000
Gemini,gemini-3.6-flash,released_field_oracle,global_dense,literal_protected_disclosure,0.009419152276295133,0.0015337423312883436,0.017815646785437646,2548,80,10000
