channel,rate,seeds,mean_evidence_recall,std_evidence_recall,mean_feasible_rate,std_feasible_rate,mean_penalized_admissibility_upper_risk,std_penalized_admissibility_upper_risk,mean_infeasibility_risk_component,std_infeasibility_risk_component,mean_admissibility_conditional_risk_component,std_admissibility_conditional_risk_component,mean_candidates_scored,std_candidates_scored
policy_missing,0.05,10,0.8750521906609092,0.00010073045678428358,0.7763394635897896,0.0003285712485680106,0.23957742793191522,0.0002964558399161738,0.2236605364102105,0.00032857124856801377,0.015916891521705084,0.00012642639061351195,1519.1692734697149,0.012876080513901456
policy_missing,0.1,10,0.8738767116324709,0.00014279774046080992,0.7743820036637722,0.0003544633849293122,0.248137352993096,0.00039014242871578185,0.2256179963362277,0.00035446338492931565,0.022519356656868644,0.0002087948217064125,1520.7795077483831,0.021802555347755454
policy_missing,0.2,10,0.8713011875880813,0.0001483269268887892,0.7695885388055725,0.0005004964602530718,0.2651275177315834,0.0006081974458714151,0.23041146119442746,0.0005004964602530884,0.034716056537156106,0.0003019791501822002,1523.995799363673,0.026558672627428514
policy_missing,0.3,10,0.8683715910680101,0.0002210367441051686,0.76405524657376,0.0005711854545699527,0.28158219572254173,0.0005533710330128229,0.23594475342624005,0.0005711854545699667,0.04563744229630179,0.0003482912351559645,1527.2159904857444,0.022847308428041488
policy_missing,0.4,10,0.8653404089589151,0.00023126850404063735,0.7581366275848573,0.0004753404647028521,0.2970799904385996,0.000641594447313385,0.24186337241514266,0.0004753404647028531,0.05521661802345702,0.00030366177633990403,1530.4304941848814,0.02819690516504523
policy_missing,0.5,10,0.862694571955803,0.0001774981029475486,0.7525416830719104,0.0006786808884927301,0.31136817932207395,0.0006968556860906277,0.24745831692808964,0.0006786808884927511,0.06390986239398419,0.0003563134416370842,1533.64510577551,0.017654496685854913
lifecycle_false_current,0.0,10,0.8761525860183946,0.0,0.7788209679054493,1.1702778228589004e-16,0.23015999934986392,2.925694557147251e-17,0.2211790320945508,0.0,0.008980967255313266,1.828559098217032e-18,1517.5583610159542,0.0
lifecycle_false_current,0.02,10,0.8764747191873219,0.0003436927369854535,0.7794991429979277,0.0007522813488583389,0.22982920265661191,0.0006423025284994822,0.2205008570020724,0.0007522813488583273,0.009328345654539676,0.00024099460814663883,1517.5877999801955,0.013979993668275485
lifecycle_false_current,0.05,10,0.8769910570418226,0.00034516373676024743,0.7805780579177797,0.0008097364695785495,0.2292732780999062,0.0007994515876061332,0.21942194208222032,0.0008097364695785263,0.009851336017685975,0.00019123936407133496,1517.6353955412314,0.014751846267157436
lifecycle_false_current,0.1,10,0.8778207939920897,0.00038149861974186967,0.7823043217895429,0.0010073017618703296,0.228425024469805,0.0009338821835610438,0.2176956782104571,0.001007301761870326,0.010729346259348085,0.00037053067768009714,1517.7186569469036,0.028671072793368203
lifecycle_false_current,0.2,10,0.8794525243661138,0.0002665779676342227,0.7860959370793086,0.0008245952588466492,0.22631212933524628,0.0006793405598568449,0.21390406292069136,0.0008245952588466409,0.012408066414555085,0.00035618315155609476,1517.8734349986917,0.02911269270030858
lifecycle_false_current,0.3,10,0.881054529533162,0.0005843515641317851,0.7901033353530448,0.0013647314193082063,0.2239833774368431,0.001136904055219118,0.20989666464695525,0.0013647314193081825,0.014086712789888092,0.0005208637700598096,1518.0173930751403,0.04415914423406052
lifecycle_false_current,0.4,10,0.8825172299030758,0.0006675085176166411,0.7936791676588402,0.001813830181965991,0.22197995266137954,0.0016267060671143214,0.20632083234115992,0.0018138301819659855,0.015659120320219856,0.00045885032886664785,1518.1562031861142,0.03470195336642122
lifecycle_false_current,0.5,10,0.8840382797533488,0.0007700064644472952,0.7979640011976811,0.00165972042772251,0.21939213884499034,0.0014270476168189038,0.20203599880231898,0.0016597204277224828,0.01735614004267158,0.00040118691841515343,1518.3049393143513,0.031593895121603474
lifecycle_false_stale,0.0,10,0.8761525860183946,0.0,0.7788209679054493,1.1702778228589004e-16,0.23015999934986392,2.925694557147251e-17,0.2211790320945508,0.0,0.008980967255313266,1.828559098217032e-18,1517.5583610159542,0.0
lifecycle_false_stale,0.02,10,0.8628245854417832,0.0021555309414855238,0.7565228820732142,0.003344260803263758,0.25237573671451974,0.003310079223428072,0.2434771179267859,0.003344260803263731,0.008898618787734148,8.909797484743985e-05,1492.796108656546,0.7429452165470793
lifecycle_false_stale,0.05,10,0.8427030101896067,0.004477816724095817,0.7198471424226636,0.007445661965267866,0.28888582392235307,0.007350367047362339,0.2801528575773365,0.007445661965267863,0.008732966345016841,0.00020465556216893956,1455.662454880668,1.368006194904348
lifecycle_false_stale,0.1,10,0.8132650428225974,0.0072681885995444975,0.6682490752157829,0.011873450040936187,0.340125811694456,0.011827559499168423,0.331750924784217,0.011873450040936177,0.008374886910239366,0.00022434193421668836,1393.0682794887693,2.5390608968785604
lifecycle_false_stale,0.2,10,0.7458506908951203,0.007250398770054441,0.5610170150865372,0.01128179653391092,0.4464973656805148,0.01100526030441618,0.4389829849134628,0.011281796533910931,0.007514380767052686,0.00039775083555433144,1268.9979769092756,1.8441911297551818
