channel,rate,seed,query_count,matched_prefix_query_count,evidence_recall,feasible_rate,penalized_admissibility_upper_risk,infeasibility_risk_component,admissibility_conditional_risk_component,matched_prefix_wrong_scope_exposure_rate,returned_wrong_scope_rate,known_relevant_inadmissible_rate,joint_label_coverage,candidates_scored
namespace_false_allow,0.2,8,3767,2459,0.7993728383389955,0.6532545449401512,0.5062788291211916,0.34674545505984866,0.15953337406134235,0.12093816089099592,0.30038531791594025,0.0,0.22181059712013063,19264.613485287147
namespace_false_allow,0.2,9,3767,2462,0.8003174429860013,0.6537169370486593,0.5073204070491648,0.34628306295134065,0.16103734409782383,0.12284559688796809,0.2993083038431884,0.0,0.22146023966218958,19266.84720607894
namespace_false_allow,0.3,0,3767,2335,0.7825928274365954,0.6261234153713401,0.5368964955804225,0.3738765846286599,0.16301991095176138,0.1411054701037326,0.3514236136488487,0.0,0.22321550355241987,28125.32156497773
namespace_false_allow,0.3,1,3767,2339,0.782042992151417,0.6259380459409694,0.5377437240811471,0.3740619540590306,0.16368177002211598,0.14236419504486017,0.3516561005108999,0.0,0.22313814517797245,28122.555170539876
namespace_false_allow,0.3,2,3767,2332,0.7825287905010242,0.6248591310211173,0.5383989839419967,0.37514086897888266,0.16325811496311374,0.14189533942396296,0.3523486454180449,0.0,0.22441096529457313,28121.733332075924
namespace_false_allow,0.3,3,3767,2343,0.7822379279158362,0.6265545687523135,0.5382483943787364,0.3734454312476866,0.1648029631310492,0.1435216275039518,0.3513523186208744,0.0,0.2225343112490431,28120.41962687992
namespace_false_allow,0.3,4,3767,2335,0.7826291643263348,0.6261234153713401,0.5363185950027709,0.3738765846286599,0.16244201037411007,0.1402031091700277,0.35108667450188946,0.0,0.2234526060454371,28121.358227750366
namespace_false_allow,0.3,5,3767,2343,0.7836901919405095,0.6289602454774574,0.5359287778455994,0.37103975452254256,0.1648890233230563,0.1428731536516061,0.35103710217775164,0.0,0.2212770150679887,28122.717610154825
namespace_false_allow,0.3,6,3767,2347,0.7830096631843951,0.6295767682888014,0.534317123233593,0.37042323171119856,0.1638938915223938,0.14121544955106102,0.350157207422793,0.0,0.22297086532989177,28121.140591956202
namespace_false_allow,0.3,7,3767,2340,0.7819993891467513,0.6260921766438055,0.5364504254866019,0.3739078233561946,0.1625426021304063,0.139844009949481,0.35081734067659487,0.0,0.22448420533768354,28119.47063205966
namespace_false_allow,0.3,8,3767,2347,0.7838772513635859,0.6303786605305162,0.5346545767277555,0.3696213394694839,0.16503323725827143,0.14262058884806467,0.3503942327414869,0.0,0.22250291263367214,28123.025537365054
namespace_false_allow,0.3,9,3767,2345,0.7826459122230489,0.6268628301579855,0.5357681064990705,0.37313716984201456,0.16263093665705547,0.139754236002585,0.35058406400520536,0.0,0.22437971546021523,28124.6081470012
namespace_false_allow,0.4,0,3767,2244,0.7691398003084692,0.6040785989961169,0.5603725678203937,0.395921401003883,0.16445116681651056,0.15551179929456715,0.38815651427668657,0.0,0.2251553159539209,36981.42236557327
namespace_false_allow,0.4,1,3767,2238,0.7677319641115576,0.6023519225373863,0.561410814680486,0.39764807746261377,0.1637627372178723,0.15541732300137662,0.3877993701565229,0.0,0.22540913897080733,36980.59381844523
namespace_false_allow,0.4,2,3767,2239,0.7690829124244589,0.6049117299653664,0.5596873554825416,0.39508827003463376,0.16459908544790813,0.15584494706939694,0.38875322701949455,0.0,0.22599107841106547,36979.06244768987
namespace_false_allow,0.4,3,3767,2248,0.7689609574238692,0.6062989062908903,0.5597713633122277,0.39370109370910966,0.16607026960311727,0.15730951999746323,0.3878311128295676,0.0,0.22385723675123184,36976.7826459438
namespace_false_allow,0.4,4,3767,2237,0.7686616723575601,0.6038015763179796,0.559706968282446,0.3961984236820204,0.16350854460042494,0.15452375625885545,0.38812983463514283,0.0,0.22580723042529116,36976.71146378783
namespace_false_allow,0.4,5,3767,2243,0.7667453542988141,0.603924468293281,0.5614421071064764,0.39607553170671905,0.16536657539975713,0.15696271245601617,0.38764638585604627,0.0,0.22472275430081004,36977.66561859753
namespace_false_allow,0.4,6,3767,2243,0.7691516221881074,0.6055282527767103,0.5590184935662921,0.3944717472232897,0.1645467463430015,0.15509941491007595,0.386871111367831,0.0,0.22557409885389376,36978.936375847865
namespace_false_allow,0.4,7,3767,2247,0.7672690348681459,0.6037390988629103,0.5609888545678251,0.39626090113708967,0.16472795343073554,0.15549293043497836,0.3877583796413078,0.0,0.22564309763476595,36976.67390245973
namespace_false_allow,0.4,8,3767,2257,0.7682595109295132,0.6068841903746997,0.5575982668943371,0.3931158096253003,0.16448245726903638,0.15411723825311274,0.38780926340259214,0.0,0.22594532292890546,36978.39065885424
namespace_false_allow,0.4,9,3767,2247,0.7689134949534722,0.6061447755880544,0.5580408467100725,0.3938552244119457,0.16418562229812633,0.15444510114436102,0.3875372448149596,0.0,0.22537689286294313,36980.19975250676
